type;auteur;annee;lien;titre;
thèse;A. Le Guilcher;2014;https://theses.fr/2014PEST1030;Front propagation methods and applications;
thèse;L. Paszkowski;2014;;Approximation of solutions and hypercontractivity estimates for a model of the evolution of dislocations;
thèse;J. Reygner;2014;https://theses.fr/2014PA066471;Longtime behaviour of particle systems: applications in physics, finance and PDEs;
thèse;D. Benoit;2014;https://theses.fr/2014CERG0690;Numerical methods for the simulation of non-newtonian fluids with applications to debris flows;
thèse;E. Regnier;2014;https://theses.fr/2014PA010075;Interactions between aquaculture and fisheries, and the viability approach to risk management in harvested ecosystems;
thèse;J. Bonelle;2014;https://theses.fr/2014PEST1078;Compatible discrete operator schemes on polyhedral meshes for elliptic and Stokes equations;
thèse;G. Chmaycem;2014;https://theses.fr/2014PEST1080;Study of the proud medium equation and of a blister model;
thèse;G. Costeseque;2014;https://theses.fr/2014PEST1081;Contribution à l'étude du trafic routier sur réseaux à l'aide des équations d'Hamilton-Jacobi;
thèse;V. Leclère;2014;https://theses.fr/2014PEST1092;Contributions to decomposition methods in stochastic optimization;
thèse;T. Pradeau;2014;https://theses.fr/2014PEST1096;Congestion games with player-specific cost functions;
thèse;A. Puscas;2014;https://theses.fr/2014PEST1097;Méthode de couplage conservative entre un fluide compressible non-visqueux et une structure tridimensionnelle déformable pouvant se fragmenter;
thèse;J. Mint-Moustapha;2014;https://theses.fr/2014PEST1113;Modélisation mathématique et simulation du trafic routier : analyse statistique de modèles d'insertion et simulation probabiliste d'un modèle cinétique;
thèse;E. Palidda;2015;https://theses.fr/2015PESC1027;Managing Interest Rates derivatives with stochastic variance-covariance;
thèse;L. Sepulveda;2015;https://theses.fr/2015PESC1034;Mathematical viability methods for supervision and control of endemic diseases of South-West Colombia;
thèse;P. Sarrabezolles;2015;https://theses.fr/2015PESC1033;Colourful linear programming;
thèse;C. Smadi Lasserre;2015;https://theses.fr/2015PESC1035;Population extinction in random environnment and genetic hitchhiking;
thèse;D. Gontier;2015;https://theses.fr/2015PESC1109;Contributions mathématiques aux calculs de structures électroniques;
thèse;P. Blanc;2015;https://theses.fr/2015PESC1110;Effets de rétroaction en finance : applications à l'exécution optimaleet aux modèles de volatilité;
thèse;H. Alrachid;2015;https://theses.fr/2015PESC1115;Analyse mathématique de méthodes numériques stochastiques en dynamique moléculaire;
thèse;W. Minvielle;2015;https://theses.fr/2015PESC1128;Quelques problèmes liés à l'erreur statistique en homogénéisation stochastique;
thèse;C. Rey;2015;https://theses.fr/2015PESC1177;Étude et modélisation des équations différentielles stochastiques;
thèse;N. Mourad;2015;https://theses.fr/2015TELE0016;A mathematical and numerical analysis of the pseudopotential method;
thèse;A. Homman;2016;https://theses.fr/2016PESC1040;Development of new numerical integration schemes of.multiscale coarse-graining methods;
thèse;A. Parmentier;2016;https://theses.fr/2016PESC1060;Algorithms for shortest path and airline problems;
thèse;F. Madiot;2016;https://theses.fr/2016PESC1052;Multiscale finite element methods for advection-diffusion problems;
thèse;A. Al Gerbi;2016;https://theses.fr/2016PESC1022;Ninomiya-Victoir scheme: strong convergence, asymptotics for the normalized error and multilevel Monte Carlo methods;
thèse;P. Cantin;2016;https://theses.fr/2016PESC1028;Approximation of scalar and vector transport problems on polyhedral meshes;
thèse;R. Fischer;2016;https://theses.fr/2016PESC1039;Modélisation de la dépendance pour des statistiques d'ordre et estimation non-paramétrique;
thèse;E. Ntovoris;2016;https://theses.fr/2016PESC1057;Contribution à la théorie des EDP non linéaires avec applications à la méthode des surfaces de niveau, aux fluides non newtoniens et à l'équation de Boltzmann;
thèse;R. Sainct;2016;https://theses.fr/2016PESC1067;Étude des instabilités dans les modèles de trafic;
thèse;J.L. Vié;2016;https://theses.fr/2016PESC1072;Second-order derivatives for shape optimization with a level-set method;
thèse;E. Bernard;2016;https://theses.fr/2016PESC1089;Interaction de physisorption d'une molécule de dihydrogène avec une surface métallique;
thèse;L. Daudet;2017;https://theses.fr/2017PESC1222;Algorithms for train scheduling on a single line;
thèse;R. Riedlbeck;2017;https://theses.fr/2017MONTS055;Adaptive algorithms for poromechanics and poroplasticity;
thèse;A. Bakhta;2017;https://theses.fr/2017PESC1046;Modèles mathématiques et simulation numérique de dispositifs photovoltaïques;
thèse;G. Faure;2017;https://theses.fr/2017PESC1063;Couplage micro/hydro pour la simulation d’ondes de choc et de détonation;
thèse;J. Firozaly;2017;https://theses.fr/2017PESC1064;Homogénéisation d’équations de Hamilton-Jacobi et applications au trafic routier;
thèse;Y. Masson;2017;https://theses.fr/2017PESC1144;Existence et construction de réseaux de Chebyshev avec singularités et application aux gridshells;
thèse;B. Nectoux;2017;https://theses.fr/2017PESC1228;Analyse spectrale et analyse semi-classique pour l'étude de la métastabilité en dynamique moléculaire;
thèse;A. Iacobucci;2017;https://theses.fr/2017PSLED040;Nonequilibrium stationary states of rotor and oscillator chains;
thèse;H. Louvin;2017;https://theses.fr/2017SACLS351;Development of an adaptive variance reduction technique for Monte Carlo particle transport;
thèse;H. Gerard;2018;https://theses.fr/2018PESC1111;Stochastic optimization problems: Decomposition and coordination under risk;
thèse;M. Iben Taari;2018;https://theses.fr/2018LILUI071;Valorisation des ajustements Xva : De l’exposition espérée aux risques adverses de corrélation;
